record_no,snapshot_index,source_vector_index,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
1,1,1,lat,48.3902,True,3224725,0,48.390216443590276,True,1.64435902761e-05/4.29153544701e-05,True
1,1,1,lon,9.4747,True,2207540,1,9.474723213845039,True,2.32138450382e-05/8.58307089402e-05,True
1,1,1,altitude,11887.2,True,12887,2,11887.0,True,0.200000000001/1,True
1,1,1,speed,241.82,True,2418,3,241.8,True,0.02/0.1,True
1,1,1,heading,152.78,True,15278,4,152.78,True,0/0.01,True
1,1,1,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
1,1,1,callsign,UPS266,True,UPS266,6,UPS266,True,0/0,True
2,1,2,lat,45.5435,True,3158392,0,45.543512235525185,True,1.22355251833e-05/4.29153544701e-05,True
2,1,2,lon,5.0463,True,2155945,1,5.046287786075538,True,1.22139244612e-05/8.58307089402e-05,True
2,1,2,altitude,10972.8,True,11973,2,10973.0,True,0.200000000001/1,True
2,1,2,speed,256.15,True,2561,3,256.1,True,0.05/0.1,True
2,1,2,heading,109.96,True,10996,4,109.96000000000001,True,1.42108547152e-14/0.01,True
2,1,2,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
2,1,2,callsign,UAE4M,True,UAE4M,6,UAE4M,True,0/0,True
3,1,3,lat,47.5864,True,3205995,0,47.58641185436531,True,1.18543653116e-05/4.29153544701e-05,True
3,1,3,lon,7.5318,True,2184903,1,7.531773455565798,True,2.65444342018e-05/8.58307089402e-05,True
3,1,3,altitude,,False,0,2,,False,0/0,True
3,1,3,speed,12.35,True,123,3,12.3,True,0.05/0.1,True
3,1,3,heading,300.94,True,30094,4,300.94,True,0/0.01,True
3,1,3,vertical_rate,,False,0,5,,False,0/0,True
3,1,3,callsign,M02,True,M02,6,M02,True,0/0,True
4,1,4,lat,48.9159,True,3236974,0,48.91588662049452,True,1.33795054822e-05/4.29153544701e-05,True
4,1,4,lon,9.0408,True,2202484,1,9.040763149443421,True,3.68505565795e-05/8.58307089402e-05,True
4,1,4,altitude,11582.4,True,12582,2,11582.0,True,0.4/1,True
4,1,4,speed,228.42,True,2284,3,228.4,True,0.02/0.1,True
4,1,4,heading,300.9,True,30090,4,300.90000000000003,True,5.68434188608e-14/0.01,True
4,1,4,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
4,1,4,callsign,TOM8VC,True,TOM8VC,6,TOM8VC,True,0/0,True
5,1,5,lat,48.6854,True,3231603,0,48.6853882516356,True,1.17483644004e-05/4.29153544701e-05,True
5,1,5,lon,9.2005,True,2204345,1,9.200494098781121,True,5.90121887889e-06/8.58307089402e-05,True
5,1,5,altitude,,False,0,2,,False,0/0,True
5,1,5,speed,1.29,True,13,3,1.3,True,0.01/0.1,True
5,1,5,heading,70.31,True,7031,4,70.31,True,0/0.01,True
5,1,5,vertical_rate,,False,0,5,,False,0/0,True
5,1,5,callsign,F172,True,F172,6,F172,True,0/0,True
6,1,6,lat,49.3885,True,3247987,0,49.38851341927369,True,1.34192736923e-05/4.29153544701e-05,True
6,1,6,lon,11.6329,True,2232685,1,11.63293639014637,True,3.639014637e-05/8.58307089402e-05,True
6,1,6,altitude,12192.0,True,13192,2,12192.0,True,0/1,True
6,1,6,speed,244.2,True,2442,3,244.20000000000002,True,2.84217094304e-14/0.1,True
6,1,6,heading,293.59,True,29359,4,293.59000000000003,True,5.68434188608e-14/0.01,True
6,1,6,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
6,1,6,callsign,QFA219,True,QFA219,6,QFA219,True,0/0,True
7,1,7,lat,48.5581,True,3228637,0,48.558101310277294,True,1.31027729111e-06/4.29153544701e-05,True
7,1,7,lon,6.2995,True,2170546,1,6.299501967311386,True,1.9673113858e-06/8.58307089402e-05,True
7,1,7,altitude,11887.2,True,12887,2,11887.0,True,0.200000000001/1,True
7,1,7,speed,233.12,True,2331,3,233.10000000000002,True,0.02/0.1,True
7,1,7,heading,181.52,True,18152,4,181.52,True,0/0.01,True
7,1,7,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
7,1,7,callsign,SRR6382,True,SRR6382,6,SRR6382,True,0/0,True
8,1,8,lat,45.7544,True,3163306,0,45.75439828739124,True,1.71260875703e-06/4.29153544701e-05,True
8,1,8,lon,8.7707,True,2199338,1,8.770739739117545,True,3.97391175451e-05/8.58307089402e-05,True
8,1,8,altitude,3429.0,True,4429,2,3429.0,True,0/1,True
8,1,8,speed,180.12,True,1801,3,180.10000000000002,True,0.02/0.1,True
8,1,8,heading,147.72,True,14772,4,147.72,True,0/0.01,True
8,1,8,vertical_rate,-6.83,True,32085,5,-6.829999999999984,True,1.59872115546e-14/0.01,True
8,1,8,callsign,BCS6GA,True,BCS6GA,6,BCS6GA,True,0/0,True
9,1,9,lat,47.4577,True,3202996,0,47.45770870630949,True,8.70630948668e-06/4.29153544701e-05,True
9,1,9,lon,8.5626,True,2196913,1,8.562600269937576,True,2.69937576292e-07/8.58307089402e-05,True
9,1,9,altitude,,False,0,2,,False,0/0,True
9,1,9,speed,2.83,True,28,3,2.8000000000000003,True,0.03/0.1,True
9,1,9,heading,272.81,True,27281,4,272.81,True,0/0.01,True
9,1,9,vertical_rate,,False,0,5,,False,0/0,True
9,1,9,callsign,VIKTOR21,True,VIKTOR21,6,VIKTOR21,True,0/0,True
10,1,10,lat,47.4581,True,3203005,0,47.45809494449972,True,5.05550028151e-06/4.29153544701e-05,True
10,1,10,lon,8.5502,True,2196769,1,8.550240647850188,True,4.0647850188e-05/8.58307089402e-05,True
10,1,10,altitude,,False,0,2,,False,0/0,True
10,1,10,speed,3.6,True,36,3,3.6,True,0/0.1,True
10,1,10,heading,275.62,True,27562,4,275.62,True,0/0.01,True
10,1,10,vertical_rate,,False,0,5,,False,0/0,True
10,1,10,callsign,GALA6,True,GALA6,6,GALA6,True,0/0,True
11,1,11,lat,47.4409,True,3202604,0,47.44088588735721,True,1.41126427877e-05/4.29153544701e-05,True
11,1,11,lon,8.5619,True,2196905,1,8.561913624266055,True,1.36242660549e-05/8.58307089402e-05,True
11,1,11,altitude,,False,0,2,,False,0/0,True
11,1,11,speed,2.83,True,28,3,2.8000000000000003,True,0.03/0.1,True
11,1,11,heading,22.5,True,2250,4,22.5,True,0/0.01,True
11,1,11,vertical_rate,,False,0,5,,False,0/0,True
11,1,11,callsign,VIKTOR31,True,VIKTOR31,6,VIKTOR31,True,0/0,True
12,1,12,lat,47.458,True,3203003,0,47.45800911379078,True,9.11379078161e-06/4.29153544701e-05,True
12,1,12,lon,8.5506,True,2196773,1,8.550583970685949,True,1.60293140503e-05/8.58307089402e-05,True
12,1,12,altitude,,False,0,2,,False,0/0,True
12,1,12,speed,4.63,True,46,3,4.6000000000000005,True,0.03/0.1,True
12,1,12,heading,278.44,True,27844,4,278.44,True,0/0.01,True
12,1,12,vertical_rate,,False,0,5,,False,0/0,True
12,1,12,callsign,GALA21,True,GALA21,6,GALA21,True,0/0,True
13,1,13,lat,47.4568,True,3202975,0,47.45680748386562,True,7.48386561611e-06/4.29153544701e-05,True
13,1,13,lon,8.5628,True,2196915,1,8.562771931355456,True,2.80686445429e-05/8.58307089402e-05,True
13,1,13,altitude,,False,0,2,,False,0/0,True
13,1,13,speed,0.26,True,3,3,0.30000000000000004,True,0.04/0.1,True
13,1,13,heading,300.94,True,30094,4,300.94,True,0/0.01,True
13,1,13,vertical_rate,,False,0,5,,False,0/0,True
13,1,13,callsign,URSULA8,True,URSULA8,6,URSULA8,True,0/0,True
14,1,14,lat,47.9068,True,3213461,0,47.90681789083908,True,1.78908390822e-05/4.29153544701e-05,True
14,1,14,lon,8.0877,True,2191380,1,8.087698957371487,True,1.0426285133e-06/8.58307089402e-05,True
14,1,14,altitude,10972.8,True,11973,2,10973.0,True,0.200000000001/1,True
