record_no,snapshot_index,snapshot_time,source_vector_index,target_id,callsign,timestamp,timestamp_source,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground
1,1,1786673155,1,a48850,UPS266,1786673155,position_time,48.3902,9.4747,11887.2,barometric,241.82,152.78,0.0,False
2,1,1786673155,2,896175,UAE4M,1786673154,position_time,45.5435,5.0463,10972.8,barometric,256.15,109.96,0.0,False
3,1,1786673155,3,3849ff,M02,1786673154,position_time,47.5864,7.5318,,unknown,12.35,300.94,,True
4,1,1786673155,4,407fac,TOM8VC,1786673154,position_time,48.9159,9.0408,11582.4,barometric,228.42,300.9,0.0,False
5,1,1786673155,5,3c815e,F172,1786673142,position_time,48.6854,9.2005,,unknown,1.29,70.31,,True
6,1,1786673155,6,7c8066,QFA219,1786673154,position_time,49.3885,11.6329,12192.0,barometric,244.2,293.59,0.0,False
7,1,1786673155,7,45ce47,SRR6382,1786673154,position_time,48.5581,6.2995,11887.2,barometric,233.12,181.52,0.0,False
8,1,1786673155,8,3c5434,BCS6GA,1786673154,position_time,45.7544,8.7707,3429.0,barometric,180.12,147.72,-6.83,False
9,1,1786673155,9,4b5d62,VIKTOR21,1786673153,position_time,47.4577,8.5626,,unknown,2.83,272.81,,True
10,1,1786673155,10,4b5d54,GALA6,1786673154,position_time,47.4581,8.5502,,unknown,3.6,275.62,,True
11,1,1786673155,11,4b5d6e,VIKTOR31,1786673139,position_time,47.4409,8.5619,,unknown,2.83,22.5,,True
12,1,1786673155,12,4b5c39,GALA21,1786673149,position_time,47.458,8.5506,,unknown,4.63,278.44,,True
13,1,1786673155,13,4b5c1b,URSULA8,1786673153,position_time,47.4568,8.5628,,unknown,0.26,300.94,,True
14,1,1786673155,14,48ea3a,ENT1511,1786673155,position_time,47.9068,8.0877,10972.8,barometric,229.54,225.45,0.0,False
15,1,1786673155,15,424cbf,MACOR,1786673154,position_time,46.8991,11.2504,9883.14,barometric,244.26,222.87,-8.13,False
16,1,1786673155,16,a61c53,THY6091,1786673154,position_time,49.3817,10.8344,10363.2,barometric,243.21,288.63,0.0,False
17,1,1786673155,17,8966d5,ETD2,1786673154,position_time,47.8922,7.5863,11277.6,barometric,259.27,104.01,0.0,False
18,1,1786673155,18,4d253b,EWG40C,1786673154,position_time,46.5527,5.7932,11277.6,barometric,224.65,200.51,0.0,False
19,1,1786673155,19,45b534,GAV596,1786673153,position_time,48.7181,9.474,11582.4,barometric,222.93,302.37,0.0,False
20,1,1786673155,20,4d240c,EWG53L,1786673153,position_time,49.244,10.6347,5189.22,barometric,186.49,248.81,10.08,False
21,1,1786673155,21,ad35c8,N950MP,1786673154,position_time,45.9506,11.2781,13716.0,barometric,255.47,118.11,0.0,False
22,1,1786673155,22,3889ff,LA2,1786673155,position_time,45.7174,5.0917,,unknown,5.66,171.56,,True
23,1,1786673155,23,4b17fd,SWR7DC,1786673098,position_time,47.4443,8.5674,,unknown,0.26,244.69,,True
24,2,1786673160,1,a48850,UPS266,1786673159,position_time,48.3811,9.4818,11887.2,barometric,241.82,152.78,0.0,False
25,2,1786673160,2,896175,UAE4M,1786673159,position_time,45.5396,5.0616,10972.8,barometric,255.67,110.0,0.0,False
26,2,1786673160,3,3849ff,M02,1786673159,position_time,47.5871,7.5312,,unknown,18.52,334.69,,True
27,2,1786673160,4,407fac,TOM8VC,1786673158,position_time,48.9207,9.0286,11582.4,barometric,228.42,300.9,0.0,False
28,2,1786673160,5,3c815e,F172,1786673142,position_time,48.6854,9.2005,,unknown,1.29,70.31,,True
29,2,1786673160,6,7c8066,QFA219,1786673159,position_time,49.3929,11.6172,12184.38,barometric,244.2,293.59,0.0,False
30,2,1786673160,7,45ce47,SRR6382,1786673160,position_time,48.5472,6.2991,11887.2,barometric,233.64,181.51,0.0,False
31,2,1786673160,8,3c5434,BCS6GA,1786673159,position_time,45.7476,8.7767,3398.52,barometric,176.54,148.95,-6.5,False
32,2,1786673160,9,4b5d62,VIKTOR21,1786673156,position_time,47.4577,8.5625,,unknown,2.83,272.81,,True
33,2,1786673160,10,4b5d54,GALA6,1786673159,position_time,47.4581,8.5499,,unknown,4.12,275.62,,True
34,2,1786673160,11,4b5d6e,VIKTOR31,1786673158,position_time,47.441,8.5624,,unknown,2.83,154.69,,True
35,2,1786673160,12,4b5c39,GALA21,1786673156,position_time,47.458,8.5502,,unknown,4.37,275.62,,True
36,2,1786673160,13,4b5c1b,URSULA8,1786673154,position_time,47.4568,8.5628,,unknown,0.06,208.12,,True
37,2,1786673160,14,440b61,TAY5DN,1786673159,position_time,49.4601,5.0066,10873.74,barometric,232.46,35.91,5.53,False
38,2,1786673160,15,48ea3a,ENT1511,1786673159,position_time,47.9002,8.0776,10972.8,barometric,229.54,225.45,0.0,False
39,2,1786673160,16,424cbf,MACOR,1786673159,position_time,46.8917,11.2404,9845.04,barometric,244.63,222.78,-8.78,False
40,2,1786673160,17,a61c53,THY6091,1786673158,position_time,49.385,10.8196,10363.2,barometric,243.05,288.51,0.0,False
41,2,1786673160,18,8966d5,ETD2,1786673159,position_time,47.8892,7.6044,11277.6,barometric,259.77,103.98,0.0,False
42,2,1786673160,19,4d253b,EWG40C,1786673159,position_time,46.5431,5.7885,11277.6,barometric,225.32,198.23,0.0,False
43,2,1786673160,20,45b534,GAV596,1786673158,position_time,48.7235,9.4611,11582.4,barometric,222.93,302.37,-0.33,False
44,2,1786673160,21,4d240c,EWG53L,1786673159,position_time,49.2407,10.6218,5242.56,barometric,192.03,248.8,9.43,False
45,2,1786673160,22,ad35c8,N950MP,1786673159,position_time,45.9448,11.2937,13716.0,barometric,255.71,118.21,0.0,False
46,2,1786673160,23,3889ff,LA2,1786673159,position_time,45.7172,5.0918,,unknown,7.2,168.75,,True
47,2,1786673160,24,4b17fd,SWR7DC,1786673098,position_time,47.4443,8.5674,,unknown,0.06,244.69,,True
48,3,1786673174,1,a48850,UPS266,1786673173,position_time,48.3537,9.5029,11894.82,barometric,241.82,152.78,0.0,False
49,3,1786673174,2,896175,UAE4M,1786673173,position_time,45.5287,5.104,10972.8,barometric,255.67,110.0,0.0,False
50,3,1786673174,3,3849ff,M02,1786673173,position_time,47.5896,7.5295,,unknown,22.12,334.69,,True
51,3,1786673174,4,407fac,TOM8VC,1786673172,position_time,48.9357,8.9906,11582.4,barometric,228.42,300.9,0.0,False
52,3,1786673174,5,3c815e,F172,1786673173,position_time,48.6862,9.2024,,unknown,5.66,73.12,,True
53,3,1786673174,6,7c8066,QFA219,1786673173,position_time,49.405,11.5747,12184.38,barometric,243.99,293.48,0.0,False
54,3,1786673174,7,45ce47,SRR6382,1786673173,position_time,48.5185,6.298,11887.2,barometric,233.65,181.64,0.0,False
55,3,1786673174,8,3c5434,BCS6GA,1786673173,position_time,45.7287,8.7918,3314.7,barometric,167.29,152.33,-5.85,False
56,3,1786673174,9,4b5d62,VIKTOR21,1786673173,position_time,47.4578,8.5619,,unknown,2.57,275.62,,True
57,3,1786673174,10,4b5d54,GALA6,1786673173,position_time,47.4582,8.5491,,unknown,4.37,278.44,,True
58,3,1786673174,11,4b5d6e,VIKTOR31,1786673163,position_time,47.4409,8.5624,,unknown,2.57,219.38,,True
59,3,1786673174,12,4b5c39,GALA21,1786673173,position_time,47.4579,8.549,,unknown,4.89,247.5,,True
60,3,1786673174,13,4b5c1b,URSULA8,1786673172,position_time,47.4568,8.5628,,unknown,0.0,118.12,,True
61,3,1786673174,14,440b61,TAY5DN,1786673173,position_time,49.484,5.0333,10957.56,barometric,233.06,36.11,5.85,False
62,3,1786673174,15,48ea3a,ENT1511,1786673174,position_time,47.8793,8.0462,10972.8,barometric,229.54,225.45,0.0,False
63,3,1786673174,16,424cbf,MACOR,1786673173,position_time,46.8685,11.209,9730.74,barometric,243.53,222.86,-8.13,False
64,3,1786673174,17,a61c53,THY6091,1786673173,position_time,49.3949,10.7743,10363.2,barometric,243.05,288.51,0.0,False
65,3,1786673174,18,8966d5,ETD2,1786673173,position_time,47.8813,7.6513,11277.6,barometric,258.28,104.06,0.0,False
66,3,1786673174,19,4d253b,EWG40C,1786673174,position_time,46.5154,5.7767,11277.6,barometric,225.56,195.75,0.33,False
