record_no,snapshot_index,source_vector_index,target_id,message_seq,frame_length,checksum,message_valid,validation_errors
1,1,1,a48850,1,41,2594,True,
2,1,2,896175,2,41,2691,True,
3,1,3,3849ff,3,41,2292,True,
4,1,4,407fac,4,41,2768,True,
5,1,5,3c815e,5,41,2177,True,
6,1,6,7c8066,6,41,2625,True,
7,1,7,45ce47,7,41,2667,True,
8,1,8,3c5434,8,41,2346,True,
9,1,9,4b5d62,9,41,2565,True,
10,1,10,4b5d54,10,41,2205,True,
11,1,11,4b5d6e,11,41,2635,True,
12,1,12,4b5c39,12,41,2513,True,
13,1,13,4b5c1b,13,41,2415,True,
14,1,14,48ea3a,14,41,2587,True,
15,1,15,424cbf,15,41,2628,True,
16,1,16,a61c53,16,41,2826,True,
17,1,17,8966d5,17,41,2388,True,
18,1,18,4d253b,18,41,2529,True,
19,1,19,45b534,19,41,2424,True,
20,1,20,4d240c,20,41,2662,True,
21,1,21,ad35c8,21,41,2539,True,
22,1,22,3889ff,22,41,2068,True,
23,1,23,4b17fd,23,41,2695,True,
24,2,1,a48850,24,41,2746,True,
25,2,2,896175,25,41,2806,True,
26,2,3,3849ff,26,41,2451,True,
27,2,4,407fac,27,41,3020,True,
28,2,5,3c815e,28,41,2200,True,
29,2,6,7c8066,29,41,2819,True,
30,2,7,45ce47,30,41,2696,True,
31,2,8,3c5434,31,41,2375,True,
32,2,9,4b5d62,32,41,2590,True,
33,2,10,4b5d54,33,41,2234,True,
34,2,11,4b5d6e,34,41,2390,True,
35,2,12,4b5c39,35,41,2255,True,
36,2,13,4b5c1b,36,41,2335,True,
37,2,14,440b61,37,41,2619,True,
38,2,15,48ea3a,38,41,2853,True,
39,2,16,424cbf,39,41,2770,True,
40,2,17,a61c53,40,41,2746,True,
41,2,18,8966d5,41,41,2560,True,
42,2,19,4d253b,42,41,2567,True,
43,2,20,45b534,43,41,2905,True,
44,2,21,4d240c,44,41,2762,True,
45,2,22,ad35c8,45,41,2882,True,
46,2,23,3889ff,46,41,2336,True,
47,2,24,4b17fd,47,41,2717,True,
48,3,1,a48850,48,41,2654,True,
49,3,2,896175,49,41,2829,True,
50,3,3,3849ff,50,41,2564,True,
51,3,4,407fac,51,41,2711,True,
52,3,5,3c815e,52,41,2111,True,
53,3,6,7c8066,53,41,2885,True,
54,3,7,45ce47,54,41,2576,True,
55,3,8,3c5434,55,41,2630,True,
56,3,9,4b5d62,56,41,2650,True,
57,3,10,4b5d54,57,41,2295,True,
58,3,11,4b5d6e,58,41,2508,True,
59,3,12,4b5c39,59,41,2277,True,
60,3,13,4b5c1b,60,41,2301,True,
61,3,14,440b61,61,41,2392,True,
62,3,15,48ea3a,62,41,2550,True,
63,3,16,424cbf,63,41,2869,True,
64,3,17,a61c53,64,41,2743,True,
65,3,18,8966d5,65,41,2444,True,
66,3,19,4d253b,66,41,2887,True,
67,3,20,45b534,67,41,2686,True,
68,3,21,4d240c,68,41,2808,True,
69,3,22,ad35c8,69,41,3006,True,
70,3,23,3889ff,70,41,2327,True,
71,3,24,4b17fd,71,41,2744,True,
